epsilon_x opt,epsilon_y opt,epsilon_z opt,exfoliation_en,structure,e_form,structure initial,jid,gap tbmbj,epsilon_x tbmbj,epsilon_y tbmbj,epsilon_z tbmbj,mpid,gap opt,composition
10.3295,10.3295,7.0367,63.59383333,"Full Formula (Hf2 Si2 Te2)
Reduced Formula: HfSiTe
abc   :   3.667305   3.667305  27.311209
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Hf    0.407174  0.907174  0.265919  [0.0, 0.0, 0.0]
  1  Hf    0.907174  0.407174  0.111626  [0.0, 0.0, 0.0]
  2  Si    0.907174  0.907174  0.188772  [0.0, 0.0, 0.0]
  3  Si    0.407174  0.407174  0.188772  [0.0, 0.0, 0.0]
  4  Te    0.907174  0.407174  0.317053  [0.0, 0.0, 0.0]
  5  Te    0.407174  0.907174  0.060492  [0.0, 0.0, 0.0]",-0.624,"Full Formula (Hf2 Si2 Te2)
Reduced Formula: HfSiTe
abc   :   3.663800   3.663800  27.311209
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Hf    0.407174  0.907174  0.265728
  1  Hf    0.907174  0.407174  0.111817
  2  Si    0.907174  0.907174  0.188772
  3  Si    0.407174  0.407174  0.188772
  4  Te    0.907174  0.407174  0.316676
  5  Te    0.407174  0.907174  0.060869",JVASP-19990,,,,,mp-13963,0.0341,Hf2 Si2 Te2
4.7325,5.6477,2.6267,134.86375,"Full Formula (As4)
Reduced Formula: As
abc   :   3.701362   4.699617  25.441200
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP       a         b         c  velocities
---  ----  ----  --------  --------  ---------------
  0  As     0.5  0.931349  0.272399  [0.0, 0.0, 0.0]
  1  As     0    0.568651  0.272399  [0.0, 0.0, 0.0]
  2  As     0.5  0.068651  0.177312  [0.0, 0.0, 0.0]
  3  As    -0    0.431349  0.177312  [0.0, 0.0, 0.0]",0.16,"Full Formula (As4)
Reduced Formula: As
abc   :   3.706500   4.686400  25.441200
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP      a       b         c
---  ----  ---  ------  --------
  0  As    0.5  0.9314  0.27248
  1  As    0    0.5686  0.27248
  2  As    0.5  0.0686  0.177231
  3  As    0    0.4314  0.177231",JVASP-31349,,,,,mp-158,0.7467,As4
6.4357,5.2377,3.007,43.11466667,"Full Formula (Ti2 Br2 O2)
Reduced Formula: TiBrO
abc   :   3.377602   4.042665  25.238364
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a    b         c  velocities
---  ----  ---  ---  --------  ---------------
  0  Ti    0    0.5  0.474389  [0.0, 0.0, 0.0]
  1  Ti    0.5  0    0.525611  [0.0, 0.0, 0.0]
  2  Br    0.5  0.5  0.396751  [0.0, 0.0, 0.0]
  3  Br    0    0    0.603249  [0.0, 0.0, 0.0]
  4  O     0    0    0.478647  [0.0, 0.0, 0.0]
  5  O     0.5  0.5  0.521353  [0.0, 0.0, 0.0]",-2.231,"Full Formula (Ti2 Br2 O2)
Reduced Formula: TiBrO
abc   :   3.387106   4.047891  25.238364
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP      a    b         c
---  ----  ---  ---  --------
  0  Ti    0    0.5  0.474042
  1  Ti    0.5  0    0.525958
  2  Br    0.5  0.5  0.396222
  3  Br    0    0    0.603778
  4  O     0    0    0.478231
  5  O     0.5  0.5  0.521769",JVASP-27890,,,,,mp-23002,0.0023,Ti2 Br2 O2
9.3915,9.3915,4.2669,240.7154875,"Full Formula (In2 Bi2)
Reduced Formula: InBi
abc   :   4.689404   4.689404  25.074031
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  In    0.511542  0.511542  0.101181  [0.0, 0.0, 0.0]
  1  In    0.011542  0.011542  0.101181  [0.0, 0.0, 0.0]
  2  Bi    0.011542  0.511542  0.180072  [0.0, 0.0, 0.0]
  3  Bi    0.511542  0.011542  0.02229   [0.0, 0.0, 0.0]",0.24,"Full Formula (In2 Bi2)
Reduced Formula: InBi
abc   :   4.959543   4.959543  25.074031
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  In    0.511542  0.511542  0.101181
  1  In    0.011542  0.011542  0.101181
  2  Bi    0.011542  0.511542  0.179795
  3  Bi    0.511542  0.011542  0.022567",JVASP-31353,,,,,mp-23313,0.0266,In2 Bi2
2.7367,2.7367,2.0162,67.44283333,"Full Formula (Nb1 O2)
Reduced Formula: NbO2
abc   :   3.001645   3.001645  22.467047
angles:  90.000000  90.000000 120.000010
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Nb    0.333333  0.666667  0.116471  [0.0, 0.0, 0.0]
  1  O     0.666667  0.333333  0.063596  [0.0, 0.0, 0.0]
  2  O     0.666667  0.333333  0.169346  [0.0, 0.0, 0.0]",-2.245,"Full Formula (Nb1 O2)
Reduced Formula: NbO2
abc   :   2.998537   2.998537  22.467047
angles:  90.000000  90.000000 120.000010
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Nb    0.333333  0.666667  0.116471
  1  O     0.666667  0.333333  0.063132
  2  O     0.666667  0.333333  0.16981",JVASP-31356,,,,,mp-25214,0.0484,Nb1 O2
2.303,2.4367,2.2339,66.30685,"Full Formula (Sb2 As2 O6)
Reduced Formula: SbAsO3
abc   :   4.485823   5.396512  19.504737
angles:  90.000000  90.717611  86.287086
pbc   :       True       True       True
Sites (10)
  #  SP            a         b         c  velocities
---  ----  ---------  --------  --------  ---------------
  0  Sb     0.483917  0.674845  0.017126  [0.0, 0.0, 0.0]
  1  Sb    -0.0084    0.174457  0.154035  [0.0, 0.0, 0.0]
  2  As     0.989235  0.241175  0.977104  [0.0, 0.0, 0.0]
  3  As     0.501234  0.740597  0.194098  [0.0, 0.0, 0.0]
  4  O      0.06084   0.550795  0.008407  [0.0, 0.0, 0.0]
  5  O      0.592714  0.325555  0.982148  [0.0, 0.0, 0.0]
  6  O      0.54141   0.562076  0.114925  [0.0, 0.0, 0.0]
  7  O      0.038202  0.061949  0.056236  [0.0, 0.0, 0.0]
  8  O      0.569442  0.050519  0.162883  [0.0, 0.0, 0.0]
  9  O      0.104173  0.825089  0.189097  [0.0, 0.0, 0.0]",-1.306,"Full Formula (Sb2 As2 O6)
Reduced Formula: SbAsO3
abc   :   4.355299   6.384288  19.504737
angles:  90.000000  90.739118  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Sb    0.423831  0.701373  0.013425
  1  Sb    0.171657  0.114343  0.133017
  2  As    0.896409  0.298309  0.99239
  3  As    0.499248  0.726236  0.190277
  4  O     0.994827  0.566707  0.013656
  5  O     0.508266  0.345855  0.988384
  6  O     0.480387  0.594037  0.108007
  7  O     0.222699  0.969929  0.04739
  8  O     0.591343  0.067456  0.179683
  9  O     0.084099  0.822812  0.189829",JVASP-60308,4.347,2.0666,2.1851,1.9995,mp-28109,2.2826,Sb2 As2 O6
2.3318,2.4729,2.2521,45.942375,"Full Formula (Mo2 O6)
Reduced Formula: MoO3
abc   :   3.696882   3.893860  28.497100
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a         b         c  velocities
---  ----  ----  --------  --------  ---------------
  0  Mo    0.25  0.431436  0.324004  [0.0, 0.0, 0.0]
  1  Mo    0.75  0.568564  0.21981   [0.0, 0.0, 0.0]
  2  O     0.25  0.466915  0.382591  [0.0, 0.0, 0.0]
  3  O     0.75  0.533085  0.161222  [0.0, 0.0, 0.0]
  4  O     0.25  0.497766  0.238833  [0.0, 0.0, 0.0]
  5  O     0.75  0.502234  0.30498   [0.0, 0.0, 0.0]
  6  O     0.25  0.981867  0.315661  [0.0, 0.0, 0.0]
  7  O     0.75  0.018133  0.228152  [0.0, 0.0, 0.0]",-2.04,"Full Formula (Mo2 O6)
Reduced Formula: MoO3
abc   :   3.755000   3.921400  28.497100
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a       b         c
---  ----  ----  ------  --------
  0  Mo    0.25  0.4352  0.324385
  1  Mo    0.75  0.5648  0.219429
  2  O     0.25  0.4692  0.383823
  3  O     0.75  0.5308  0.15999
  4  O     0.25  0.5014  0.238462
  5  O     0.75  0.4986  0.305351
  6  O     0.25  0.9815  0.316499
  7  O     0.75  0.0185  0.227314",JVASP-31368,,,,,mp-510584,1.8234,Mo2 O6
37.3468,37.3472,3.5319,89.476,"Full Formula (Cr2 Ge2 Te6)
Reduced Formula: CrGeTe3
abc   :   6.898647   6.898647  23.444603
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (10)
  #  SP            a          b         c  velocities
---  ----  ---------  ---------  --------  ---------------
  0  Te     0.373713   0.373709  0.147284  [0.0, 0.0, 0.0]
  1  Te    -4e-06      0.626287  0.147284  [0.0, 0.0, 0.0]
  2  Te     0.626291   4e-06     0.147284  [0.0, 0.0, 0.0]
  3  Te     0.626287   0.626291  0.999641  [0.0, 0.0, 0.0]
  4  Te     4e-06      0.373713  0.999641  [0.0, 0.0, 0.0]
  5  Te     0.373709  -4e-06     0.999641  [0.0, 0.0, 0.0]
  6  Cr     0.666667   0.333333  0.073463  [0.0, 0.0, 0.0]
  7  Cr     0.333333   0.666667  0.073462  [0.0, 0.0, 0.0]
  8  Ge    -0         -0         0.125048  [0.0, 0.0, 0.0]
  9  Ge    -0         -0         0.021877  [0.0, 0.0, 0.0]",-0.04,"Full Formula (Cr2 Ge2 Te6)
Reduced Formula: CrGeTe3
abc   :   6.912916   6.912916  23.444603
angles:  90.000000  90.000000 120.000001
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Te    0.373339  0.372697  0.146925
  1  Te    0.999358  0.626661  0.146925
  2  Te    0.627303  0.000642  0.146925
  3  Te    0.626661  0.627303  0
  4  Te    0.000642  0.373339  0
  5  Te    0.372697  0.999358  0
  6  Cr    0.666667  0.333333  0.073211
  7  Cr    0.333333  0.666667  0.073714
  8  Ge    0         0         0.125026
  9  Ge    0         0         0.021899",JVASP-60389,0.0203,39.0126,43.907,3.3777,mp-541449,0.5289,Te6 Cr2 Ge2
2.8944,2.8944,2.7008,36.73083333,"Full Formula (Zr2 Br2 N2)
Reduced Formula: ZrBrN
abc   :   3.658791   3.658791  30.340540
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (6)
  #  SP            a          b         c  velocities
---  ----  ---------  ---------  --------  ---------------
  0  Zr    -0          0         0.123503  [0.0, 0.0, 0.0]
  1  Zr     0.666667   0.333333  0.209831  [0.0, 0.0, 0.0]
  2  Br     0.333333   0.666667  0.058157  [0.0, 0.0, 0.0]
  3  Br     0.333333   0.666667  0.275176  [0.0, 0.0, 0.0]
  4  N      0.666667   0.333333  0.137972  [0.0, 0.0, 0.0]
  5  N      0         -0         0.195361  [0.0, 0.0, 0.0]",-1.769,"Full Formula (Zr2 Br2 N2)
Reduced Formula: ZrBrN
abc   :   3.682188   3.682188  30.340540
angles:  90.000000  90.000000 120.000003
pbc   :       True       True       True
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Zr    0         0         0.123542
  1  Zr    0.666667  0.333333  0.209792
  2  Br    0.333333  0.666667  0.057814
  3  Br    0.333333  0.666667  0.275519
  4  N     0.666667  0.333333  0.137803
  5  N     0         0         0.19553",JVASP-31374,,,,,mp-541912,1.3309,Zr2 Br2 N2
2.1019,2.3753,1.8636,76.1309,"Full Formula (Pd2 Se2 O6)
Reduced Formula: PdSeO3
abc   :   3.943861   6.409045  26.262160
angles:  90.000000  96.040454  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c  velocities
---  ----  --------  --------  --------  ---------------
  0  Pd    0.5       0         0.119224  [0.0, 0.0, 0.0]
  1  Pd    0.5       0.5       0.119224  [0.0, 0.0, 0.0]
  2  Se    0.951344  0.25      0.041504  [0.0, 0.0, 0.0]
  3  Se    0.048656  0.75      0.196944  [0.0, 0.0, 0.0]
  4  O     0.209484  0.036254  0.050914  [0.0, 0.0, 0.0]
  5  O     0.209484  0.463746  0.050914  [0.0, 0.0, 0.0]
  6  O     0.787854  0.25      0.104757  [0.0, 0.0, 0.0]
  7  O     0.212146  0.75      0.133691  [0.0, 0.0, 0.0]
  8  O     0.790516  0.963746  0.187534  [0.0, 0.0, 0.0]
  9  O     0.790516  0.536254  0.187534  [0.0, 0.0, 0.0]",-0.598,"Full Formula (Pd2 Se2 O6)
Reduced Formula: PdSeO3
abc   :   4.030541   6.565476  26.262160
angles:  90.000000  95.910081  90.000000
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Pd    0.5       0         0.119224
  1  Pd    0.5       0.5       0.119224
  2  Se    0.946026  0.25      0.04244
  3  Se    0.053974  0.75      0.196008
  4  O     0.200955  0.040954  0.052081
  5  O     0.200955  0.459046  0.052081
  6  O     0.780187  0.25      0.105542
  7  O     0.219813  0.75      0.132906
  8  O     0.799045  0.959046  0.186367
  9  O     0.799045  0.540954  0.186367",JVASP-31375,,,,,mp-545482,1.1115,Pd2 Se2 O6
