battery_type,battery_id,battery_formula,working_ion,elements,nelements,formula_charge,formula_discharge,max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,stability_charge,stability_discharge,id_charge,id_discharge,energy_density,working_ion_cost_per_kWh,battery_volume_cost
insertion,mp-124_Li,Li0-3Ag,Li,['Ag'],1,Ag,Li3Ag,2.73608911228499,0.210565436666666,624.785870642994,1984.81622859872,131.558309675105,417.933695877976,0.003609163333333,0.0,mp-eu,mp-bxgwx,0.3147827298268781,10.0,3.147827298268781
insertion,mp-2074_Li,Li0-3Sb,Li,['Sb'],1,Sb,Li3Sb,1.56923698332463,1.01595261666666,563.913253586273,1890.29377880279,572.909145553988,1920.44891084342,0.328350750000001,0.0,mp-psw,mp-dbu,0.29832043035311956,10.0,2.9832043035311955
insertion,mp-22902_Li,Li0-1Bi,Li,['Bi'],1,Bi,LiBi,0.368254555643153,0.796795713333333,124.126099336906,923.538663690293,98.9031438644345,735.87164832602,0.049545179999999,0.0,mp-bghqr,mp-bhww,0.13440271015933497,10.0,1.3440271015933498
insertion,mp-28_Li,Li0-3Ce,Li,['Ce'],1,Ce,Li3Ce,2.95118274487667,-0.444845514999999,499.595768807384,1295.16821265397,-222.242937066941,-576.149770569685,0.0,0.33363413625,mp-bghgm,mp-cplhv,0.3857381334148455,10.0,3.857381334148455
insertion,mp-45_Li,Li0-3Ca,Li,['Ca'],1,Ca,Li3Ca,1.51395589557122,-0.064930653333333,1320.24832820629,1271.74114150747,-85.7245865126759,-82.5749831889595,0.0,0.057445444166666,mp-bt,mp-cdnrt,1.0381423428995318,10.0,10.381423428995317
insertion,mp-568806_Li,Li0-0.17C,Li,['C'],1,C,LiC6,0.025414176790462,0.084404763333332,339.23692548546,734.096706179259,28.6332124095277,61.9612587488396,0.011936282499998,0.002406076904762,mp-bgjle,mp-cezqj,0.462114763123078,10.0,4.62114763123078
insertion,mp-573471_Li,Li4.25-4.4Sn,Li,['Sn'],1,Li17Sn4,Li22Sn5,0.009449968929355,-0.362515799999993,26.9360897646143,69.5847472196479,-9.7647581298908,-25.225570306128,0.0,0.010069883333333,mp-bgqip,mp-cqfgz,0.38709761608516197,10.0,3.8709761608516198
insertion,mp-623511_Li,Li0-3Sn,Li,['Sn'],1,Sn,Li3Sn,1.54919652736939,0.531624186666666,576.239623860245,1878.66076834337,306.342921359808,998.741502993122,0.054256834999999,0.0,mp-cgexp,mp-cpljd,0.30672893881122637,10.0,3.067289388112264
insertion,mp-80_Li,Li0-3Sb,Li,['Sb'],1,Sb,Li3Sb,1.90068219096194,0.99933241,563.913253586273,1679.32409409416,563.536790737312,1678.20299412218,0.290331829999999,0.002960424999999,mp-dc,mp-ltz,0.3357977507554621,10.0,3.357977507554621
insertion,mp-8633_Li,Li0-3Cr,Li,['Cr'],1,Cr,Li3Cr,5.15805213544504,-0.407694173333332,1104.16694845297,1821.51042345738,-450.162431271522,-742.619186309507,0.402526340000001,0.406402214999999,mp-mub,mp-cplgb,0.6061820641998679,10.0,6.061820641998679
